source,target,value,level,colorS,colorT
225,251,5,0,#5e85bf,#2328dd
218,246,2,1,#fd9e2f,#faa940
222,245,2,1,#bdfa2f,#a7fe23
210,240,3,1,#49cc69,#6199b5
214,232,11,1,#ebe333,#f0d72a
185,215,2,1,#ec2723,#ec201f
215,228,1,1,#ec201f,#ec211f
212,243,11,1,#2f72b5,#2f73b4
189,212,12,1,#3482ac,#2f72b5
206,227,1,0,#b01e6f,#ac1e73
227,250,4,0,#ac1e73,#6a8abe
175,206,3,0,#afa4c2,#b01e6f
175,205,4,0,#afa4c2,#fca63a
205,224,4,0,#fca63a,#eab755
175,204,7,0,#afa4c2,#d4274b
204,224,5,0,#d4274b,#eab755
175,203,55,0,#afa4c2,#d4c175
203,224,67,0,#d4c175,#eab755
201,225,19,0,#51f231,#5e85bf
175,201,9,0,#afa4c2,#51f231
198,223,1,1,#b01e6f,#ac1e73
223,247,1,1,#ac1e73,#ae1e71
152,198,1,1,#7a32c1,#b01e6f
196,210,3,1,#38c35e,#49cc69
160,196,2,1,#37b078,#38c35e
193,209,3,1,#d4274b,#d02750
209,230,3,1,#d02750,#d1274f
154,193,5,1,#cf375d,#d4274b
190,217,9,1,#acb5ac,#a6b5ab
217,234,10,1,#a6b5ab,#a7b6a9
158,190,16,1,#c4b9ab,#acb5ac
158,183,8,1,#c4b9ab,#6697b7
183,210,3,1,#6697b7,#49cc69
173,189,4,1,#3885b0,#3482ac
140,173,1,1,#358fa3,#3885b0
139,171,2,1,#fba728,#f7b923
171,194,2,1,#f7b923,#eee028
167,188,3,1,#91fc2f,#b8e959
211,235,9,1,#bede66,#bedf63
158,188,10,1,#c4b9ab,#b8e959
125,167,1,1,#9cfe28,#91fc2f
188,211,11,1,#b8e959,#bede66
119,155,1,1,#c9a6c0,#def41a
155,179,2,1,#def41a,#caa8c0
146,176,21,0,#c9a6c0,#fca027
224,248,137,0,#eab755,#ebb25a
149,176,17,0,#f0cf34,#fca027
116,151,11,0,#ebb754,#f4602c
175,199,38,0,#afa4c2,#faac2e
176,199,31,0,#fca027,#faac2e
199,224,48,0,#faac2e,#eab755
151,176,7,0,#f4602c,#fca027
150,175,1,0,#73f923,#afa4c2
116,150,3,0,#ebb754,#73f923
149,175,39,0,#f0cf34,#afa4c2
116,149,49,0,#ebb754,#f0cf34
116,147,3,0,#ebb754,#eb2020
147,176,3,0,#eb2020,#fca027
186,207,20,1,#df7b69,#db7970
174,186,3,1,#ec6d49,#df7b69
207,237,22,1,#db7970,#dc7a6f
143,174,1,1,#ea6f4e,#ec6d49
102,143,2,1,#d65f69,#ea6f4e
99,141,1,1,#bede65,#9af348
141,158,1,1,#9af348,#c4b9ab
140,160,5,1,#358fa3,#37b078
89,140,3,1,#44a59e,#358fa3
89,132,7,1,#44a59e,#629ab4
132,158,5,1,#629ab4,#c4b9ab
126,161,2,1,#daf339,#eed33c
97,126,6,1,#e8d341,#daf339
169,194,5,1,#f0d925,#eee028
155,194,2,1,#def41a,#eee028
214,238,17,1,#ebe333,#dbe740
179,214,10,1,#caa8c0,#ebe333
93,124,9,1,#ede425,#ece525
124,169,3,1,#ece525,#f0d925
214,229,12,1,#ebe333,#cbabb8
194,214,14,1,#eee028,#ebe333
148,175,79,0,#dfa088,#afa4c2
87,117,3,0,#9e238a,#ab1e74
117,148,4,0,#ab1e74,#dfa088
74,112,3,1,#9e238a,#ab1e74
